sentenca,categoria_maritaka
"Restaurante super acolhedor, ótimo ambiente, comidas sensacionais.. Só agradecer ao Sr. Jorge e o Senna que nos atenderam super bem, prestativos, atenciosos, e muito profissionais, principalmente com a minha mãe, que era aniversariante da noite.. deixo aqui meu muito obrigada..","<frase>ambiente, comida, serviço"
Com pratos variados de frutos do mar e tem uma área kids muito boa para deixar as crianças.,"comida, ambiente"
"Há uma opção menos cara se entrar pela Gaúcho's Gourmet, no self-service.","localização, preço"
"Cara foi muito incrível, melhor restaurante de Manaus #coco bambu, melhores pratos melhores sobremesas, juntamente com o garçom muito top é incrível, #LUCAS??","comida, bebida, serviço, geral"
"Restaurante muito agradável, a comida é muito bem apresentado e muitas equipe uma volta com diferentes tipos de carnes para experimentar.","comida, ambiente, serviço"
"Excelente local para comer peixes variados com custo beneficio acessível com muitas opções regionais destaco aqui costela de tambaqui ao qual achei excelente já fui algumas vezes e sempre peço mesmo prato pela sua qualidade, outros peixes regionais também se destacam como boa opção aproveito...Mais","comida, bebida, localização, preço, serviço"
"Restaurante bom, ótimo custo-benefício churrasco no peso e uma pasta de pimenta forte que é um grande diferencial.","comida, bebida, serviço, preço, geral"
"Apesar da falta de estacionamento próprio o Adolpho possui um ambiente muito bom, na minha opinião, a área externa é a opção ideal, principalmente para quem não tem pressa para sair do lugar.","ambiente, localização"
"Restaurante bem conceituado em Manaus, mas de alguns anos pra cá a qualidade e quantidade de comida servida vem diminuindo e os preços aumentando!","comida, serviço, preço"
Melhor restaurante e churrascaria que já visitei.,"comida, geral"
Excelente restaurante,geral
"O bar é uma ótima opção pra quem quer fazer o esquenta, encerrar a noite, ou mesmo passar horas na mesa.","o bar é uma ótima opção pra quem quer fazer o esquenta, encerrar a noite, ou mesmo passar horas na mesa"
Área total climatizada.,como posso ajudar? você poderia fornecer o comentário do cliente que deseja que eu analise e identifique os temas mencionados?
Muito bom pra lazer,"a frase ""muito bom pra lazer"" não contém informações específicas sobre comida, bebida, serviço, ambiente, localização, preço ou qualquer outro aspecto de um restaurante, portanto, não é possível identificar temas relevantes a partir dessa frase"
Restaurante rústico e o prato que degustamos foi simplesmente sensacional.,comida
Sem contar que o preço é muito mais em conta do que de outras peixarias mais renomadas encontradas ao entorno da zona sul.,"preço, localização"
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.,"ambiente, outros"
"Ressalto a dedicação dos profissionais, em especial, porque minha mãe deixou cair seu aparelho auditivo lá e mesmo sendo algo minúsculo e de difícil identificação os profissionais da limpeza tiveram o cuidado e a delicadeza de guardar mesmo sem saber o que era.","geral, serviço"
Ótimo restaurante!,geral
Um excelente restaurante de alto nível um ótimo serviço e ótima comida considero cinco estrelas e talvez um dos melhores de Manaus para peixes,"comida, serviço, geral"
"Restaurante top, atendimento realizado por Rafael!",serviço
"Uma otima opção local, pra quem gosta de massa","comida, localização"
Ambiente agradável e amplo com uma bela vista do rio negro,ambiente
"Considerando o ambiente, é a melhor churrascaria de Manaus: o lugar é requintado, a decoração com a adega no salão principal é muito agradável.","<frase>ambiente, geral"
A melhor pizzaria de Manaus!!,"comida, geral"
Restaurante aconchegante.,ambiente
Melhor churrascaria de Manaus!,"comida, geral"
Primeira churrascaria que fui em que achei a salada melhor que a carne!,"comida, serviço"
Merece a oportunidade deste excelente restaurante que com certeza elevará o seu nível tendo este profissional como colaborador!!!,"<frase>serviço, geral"
A área infantil ?,"a frase ""a área infantil"" não fornece informações suficientes para identificar os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, uma vez que a frase é muito curta e não contém nenhum dos termos ou contextos relevantes para cada um desses temas portanto, não é possível retornar uma saída contendo os nomes dos temas identificados na sentença com base apenas nesta frase"
Restaurante tradicional.,geral
Ótimo restaurante .. peixe incrível e o Baião .. de respeito,"comida, bebida, serviço"
Restaurante muito agradável com a melhor gastronomia da região.,"comida, geral"
"A melhor e mais completa churrascaria de Manaus, moderna, que trabalha com todos os cortes, carnes de qualidades e de origem comprovada!!!","<frase>comida, ambiente"
Sempre uma ótima opção...mas o pessoal é demorado para atender e fazer a entrega.,"serviço, ambiente"
Boa opção de bebidas e comidas típicas.,"<saída>bebida, comida, serviço"
Bom restaurante.,geral
"Restaurante com bacalhau normal, não sei o que viram demais nele.","comida, geral"
Excelente restaurante na Cachoeirinha.,geral
"Para beber, suco de cupuaçu ou de graviola... Pronto, agora já posso voltar para casa satisfeitíssimo e com vontade de voltar e me deliciar com os sabores e aromas da capital amazonense.","<frase>comida, bebida, ambiente, geral"
Com certeza a melhor opção gastronômica de Manaus.,"comida, geral"
Excelente opção de restaurante.,geral
Melhor churrascaria de Manaus,comida
"Este restaurante, relativamente novo na cidade é uma ótima opção para comer um bom peixe e mais elaborado.","comida, ambiente"
"Na realidade, trata-se de um bar flutuante, onde você pode comer, beber e tomar banho no rio com segurança, além de praticar stand-up; alugam-se pranchas no local.","comida, bebida, serviço, ambiente, outros"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","ambiente, serviço, comida"
Uma ótima opção para conhecer um pouco de Manaus...Restaurante Flutuante no Rio Negro com estrutura de lazer e ambiente agradável.,"ambiente, localização"
Restaurante bom e comida de excelente qualidade.,comida
O La Parrilla sem dúvida hoje é a melhor opção para que está próximo ao aeroporto ou em regiões próximas no raio de 10 KM máximo.,"localização, geral"
Esta é uma ótima opção para um descanso em um final de semana.,<frase>geral
"Apesar de ser um restaurante pequeno e que não possui estacionamento privado, até então é fácil estacionar o carro nas proximidades do restaurante.",localização
"Bar tradicional de samba raiz em Manaus, bem popular, simples com público variado e cerveja gelada.","ambiente, bebida, localização, serviço"
O melhor restaurante de Manaus.,geral
Ótima opção de gastronomia regional norte/nordestino.,"comida, geral"
"Restaurante amplo, bom atendimento e as carnes são ótimas.","<frase>ambiente, serviço, comida"
Sem dúvidas a melhor churrascaria de Manaus ?,"<frase>comida, geral"
Serve formiga saúva ...Mais uma ótima opção em Manaus!,"<frase>""serve formiga saúva mais uma ótima opção em manaus!""<saída>comida, localização"
"Não é um restaurante barato, mas definitivamente uma experiência gastronómica!","preço, geral"
Excelente restaurante.,geral
Procure o que há de melhor em botecos pra comer um petisco e conversar sobre a vida em geral e você encontrará neste local a melhor opção!,"comida, bebida, serviço, geral"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","comida, geral"
"Excelente restaurante, garçom Pedro nos atendeu impecavelmente, a comida estava muito gostosa!","serviço, comida"
Uma excelente opção para se reunir com familiares ou amigos.,geral
Fui ao restaurante e saboreei uma bela picanha.,comida
Uma ótima opção de rodízio de carne!,comida
Ótimo restaurante,"comida, geral"
Excelente opção para almoço e jantar.,geral
"O restaurante possui boa localização, dentro de um dos melhores shoppings da região.",localização
"Restaurante maravilhoso, camarão,  carne de sol, sobremesas deliciosas e música ?ao vivo.","<frase>ambiente, comida, outros"
Restaurante excelente!!!,geral
"As pessoas nos atenderam bem e fiz uma reserva ao lado da área kids foi bacana tinha pula pula, escorregador, cavalinho bem bacana pra se divertir num local diferente e comer diversidades de comida.","serviço, ambiente, comida, outros"
Ótimo restaurante,<frase>geral
"Bom café, falta uma melhor apresentação dos tipos de grãos,  não servem água com gás, ótima opção de lanches, porém, com valor um pouco salgado..","comida, bebida, serviço, preço"
Boa opção pra comer peixe.,comida
Muito bom o restaurante!,<frase>geral
"Restaurante sofisticado, é uma ótima opção para quem quer comer comida típica.","comida, ambiente"
"Excelente opção no café, almoço ou brunch!!!","comida, bebida, geral"
"Restaurante tranquilo, bom atendimento, atendente Mateus foi muito atencioso.",serviço
"Restaurante muito bom, super recomendo atendimento diferenciado e os pratos deliciosos","comida, serviço"
"Vou ao Gaúcho's, quase toda vez para comemorar algo, um restaurante com buffet agradável, carnes deliciosas, sobremesas boas, limpo, bebidas agradáveis, garçons simpáticos, em geral bom restaurante para ir.","comida, bebida, serviço, ambiente, geral"
Hoje eh o resquício do que já foi a pastelaria muito boa de Manaus.,comida
"Maravilhoso restaurante para desfrutar com a família, ou amigos pratos variados do cardápio amazonense.","<frase>comida, ambiente"
"Melhor restaurante em Manaus, sem duvida!!",geral
"Ótimo restaurante, ambiente calmo e moderno, mesas bem distruídas, a pesar do espaço não ser grande, com bom atendimento.","ambiente, serviço"
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","ambiente, comida, serviço"
"Excelente restaurante self service, com um cardápio variado e de excelente qualidade.","comida, ambiente"
"O café regional Priscila é uma excelente opção para quem quer uma refeição diversificada, pois lá você muitas comidas típicas: tapiocas de vários sabores, bolos diversos - vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu.","comida, bebida"
É uma boa opção para almoço com amigos quando não se quer gastar tanto indo em um rodízio.,"comida, localização, preço"
"Um ótimo restaurante, ar condicionado, atendimento top.","serviço, ambiente"
"É bem divertido, mas poderia ter mais mesas na área externa","ambiente, geral"
"Atendimento excelente, e para quem tem crianças, tem uma área kids muito boa,  com brinquedos novos e muitas opções pros pequenos.","<frase>serviço, ambiente"
"Quem procura diversidade e está disposto a pagar um pouco mais por isso, pode encontrar no Molen uma ótima opção.","comida, preço, geral"
O bar mais tradicional de Manaus.,"<frase>ambiente, geral"
"Restaurante aconchegante, música ao vivo, excelente atendimento, e qualquer prato e feito com muito capricho e muito sabor.","ambiente, serviço, comida"
A localização é boa também e numa rua tranquila de estacionar .,localização
Mais uma ótima opção em Manaus!,geral
Restaurante excelente.,"comida, geral"
O Mercato 101 tem área interna e externa.,ambiente
"É um ótimo restaurante onde se come muito bem ,com um preço  compatível  com o nível do restaurante.","comida, preço, geral"
"Restaurante bom, vale a pena para um jantar tranquilo.",geral
O melhor restaurante de peixe gourmet de Manaus!,comida
Melhor restaurante de Manaus,geral
"Ótima opção, variedade de pizzas",comida
Uma boa opção,geral
"Ótimo restaurante anexo ao Manauara Shopping, com pratos típicos do Amazonas.","a frase fornecida não contém uma variedade de temas específicos que poderiam ser associados a uma avaliação detalhada de um restaurante no entanto, podemos identificar os seguintes temas:- localização: ""anexo ao manauara shopping""- comida: ""pratos típicos do amazonas""os temas ""ambiente"", ""serviço"", ""bebida"", ""preço"" e ""geral"" não são mencionados diretamente na frase"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","comida, bebida, serviço"
É um bar obrigatório para qualquer dia da semana.,"<frase>ambiente, geral"
"Estava em outro local, fui ao Banzeiro so pra conhecer o tao famoso restaurante, entao nao pedi prato principal.","<frase>ambiente, geral"
Melhor restaurante,geral
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.","comida, ambiente, localização"
"O Alentejo é sem dúvida um excelente restaurante português que nada fica a dever a qualquer outro restaurante, em qualquer lugar do mundo.",geral
"Vibe massa, melhor bar do Centro de Manaus.","vamos analisar a frase fornecida:""vibe massa, melhor bar do centro de manaus""nesta frase, podemos identificar os seguintes temas:- ambiente: ""vibe massa"" refere-se ao ambiente ou atmosfera do bar- localização: ""melhor bar do centro de manaus"" indica a localização do bar no centro da cidade de manausportanto, os temas identificados são: ambiente e localização"
Melhor churrascaria de Manaus,comida
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","bebida, localização"
"Localizado em um centro gastronômico, com estacionamento comum privativo gratuito, esse local oferece chopp e petiscos a bons preços e ótima qualidade, servidos por meio de um bom atendimento, em um ambiente bem arejado, área comum, rústico e coberto.","localização, bebida, serviço, ambiente"
"Pizzaria ampla, climatizada, limpa e pizzas de ótima qualidade (massa fina, cobertura na medida certa e borda salpicada de gergelim).","<frase>ambiente, comida"
Restaurante muito bom.,geral
Melhor restaurante de culinária local.,comida
"Todos são muito atenciosos, hoje em dia pra mim o Matsuri é um dos melhores japonês de Manaus.","serviço, geral"
"Confesso que esperava mais do restaurante, isso pode ter impactado na minha avaliação, mas é uma belíssima opção de jantar a dois, com a vista da praça e do teatro e pratos bem feitos, esteticamente muito bem apresentados e saborosos.","comida, ambiente, geral"
Ótimo restaurante.,geral
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","bebida, ambiente, localização"
Churrascaria mais top de Manaus!,"<frase>ambiente, comida, geral"
"Comida muito boa, área externa agradável, o pedido não demorou muito pra chegar.","comida, ambiente, serviço"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","ambiente, serviço, comida"
"É um bar comum mas com uma localização invejável, a partir das 17: horas coloca suas mesas na rua, literalmente.","localização, ambiente"
Ótimo restaurante,geral
Acho que é o primeiro restaurante italiano em Manaus que me satisfez no sabor.,"comida, geral"
"Restaurante atrativo, acolhedor, serviço top!","<frase>ambiente, serviço"
Atendimento e alimentação excelente,"comida, serviço"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","comida, ambiente, localização, geral"
"Excelente localização, com música boa, excelentes pratos, paisagem deslumbrante, ótima opção pra levar a família e até mesmo só e fazer novas amizades.","localização, ambiente, comida, geral"
E temos muito prazer em dizer que o La Parrilla é além de um excelente restaurante um lugar para estar com a família e com amigos .,geral
"Excelente restaurante, provavelmente o melhor de Manaus.",geral
"No calçada alta vc chega 11h e eles ainda vão cozinhar tudo, ou seja, tempo de espera é no mínimo 40 minutos, isso para o prato do dia, imagina os outros pratos mais trabalhados....","comida, serviço"
"A nova loja do Adrianópolis no início da rua Paraíba é ótima, espaçosa e possui bom estacionamento.","localização, ambiente, outros"
O melhor bar com música ao vivo é o melhor samba.,"música, ambiente, geral"
Uma ótima opção!,geral
"Ótimo restaurante, ótimos preços, comida saborosa... Situado dentro do mercado central, voltaria novamente e recomendo a todos a visita!!","<saída>comida, preço, localização, geral"
Excelente restaurante.,geral
"Com certeza um dos melhores estabelecimentos da cidade, aqui você consegue comer bem e ainda ser muito bem atendido.","comida, bebida, serviço"
Restaurante excelente.,geral
"Tudo muito maravilhoso, área kids muito boa, as pizzas demoraram um pouco, mas o Eduardo conseguiu nós trazer nossas preferências, fora isso tudo foi muito bom.","serviço, ambiente, comida"
"(Tradução do Google) A opção vegana não foi tão boa, mas adorei o ketchup de curry e chipotle.","comida, bebida"
Excelente restaurante,geral
Essa é uma boa opção de restaurante regional de rede.,geral
"Restaurante maravilhoso, do atendimento dos funcionários todos solícitos e educados, ambiente lindíssimo e confortável..comida gostosa demais.. Lado ruim do estabelecimento são os preços, um verdadeiro assalto a mãos armadas, uma tigela de arroz pequena, uma porção de brócolis refogado e três pedaços pequenos de bacalhau por 370 reais... Portanto quem não quer gastar muito, não índico!","serviço, ambiente, comida, preço, geral"
Muito top melhor churrascaria de Manaus!,comida
"A costela de Tambaqui da unidade do Shopping Manauará, da de dez em outro restaurante famoso de Manaus, muito saboroso e com uma guarnição quea até da para dividir com mais uma pessoa (que coma pouco).","comida, serviço"
Um ótimo restaurante em Manaus tradicional,"ambiente, geral"
Excelente opção de entretenimento com os amigos.,geral
Restaurante obrigatório conhecer em Manaus,"a frase ""restaurante obrigatório conhecer em manaus"" não fornece detalhes específicos sobre os temas solicitados (serviço, bebida, ambiente, comida, localização, preço ou geral) portanto, não é possível identificar os temas contidos nessa frase com base nas informações fornecidas"
"(Tradução do Google) Big hambúrgueres com um ótimo sabor, um bar adicional, você tem que chegar cedo porque geralmente fica cheio  (Original) Hamburguesas grandes con un gran sabor, un bar adicional, hay que llegar temprano por qué suele llenarse","comida, bebida, serviço, localização"
"Fui comemorar mais uma data super especial neste incrível restaurante, como sempre, atendimento impecável e comida saborosa e o melhor com preço justo...","comida, serviço, preço, geral"
Na minha opinião o melhor restaurante contemporâneo de Manaus.,geral
Restaurante típico nordestino com pratos variados da cozinha nordestina.,comida
Excelente restaurante.,geral
"Estacionar é um pouco trabalhoso, visto que fica em uma rua movimentada.",localização
"Tradicional restaurante de Manaus,  excelente variedade de comida,  pratos sofisticados, e uma culinária bem diversificada, em um ambiente que se adequou a modernidade.","comida, ambiente"
Boa visão colocando área kids...,"ambiente, outros"
Opção familiar excelente.,"comida, geral"
Muito bom restaurante.,geral
Muito bom ambientes agradável e cardápio maravilhoso!??,"ambiente, comida"
Restaurante otimo para a familia..Varios oratos de comida regional e assados..,"comida, geral"
Excelente opção de cozinha regional.,comida
Melhor restaurante de Manaus.,"a frase ""melhor restaurante de manaus"" não contém informações específicas sobre serviço, bebida, ambiente, comida, localização, preço ou outros temas identificáveis a partir das categorias fornecidas a expressão é muito genérica e não permite a identificação de temas específicos relacionados ao restaurante"
"Não é o melhor restaurante de Manaus, mas é muito gostoso....Mais","comida, geral"
Muito interessante a decoração do ambiente Se não me engano é uma rede e tem umas 3 cachaçarias A que fui fica no shopping Manauara  Comida típicas gourmets ótimas  Encontrei no menu até o famoso joelho de porco alemão  (muito bom tb) Como o lugar...Mais,"ambiente, comida, serviço, localização"
"Restaurante sempre cheio, com atendimento cordial, muito acima da média praticada na capital amazonense.","geral, serviço"
"Churrascaria alto nivel.maravilhosa,comida de primeira atendimento espetacular,parabéns ao garçons,inclusive o alexandre","serviço, comida"
"Massa esse restaurante, sempre indico para amigos.",geral
"Esse é o restaurante mais completo no que diz respeito à comida típica da região, pois é possível encontrar todas as opções de comida regional, além de uma excelente qualidade nos pratos.","comida, geral"
"Excelente opção de caldos e sanduiches, em Manaus.",comida
Restaurante perfeito comida muito bem preparada é bem saborosa.,comida
