sentenca,ambiente,bebida,comida,geral,localização,outros,preço,serviço
boa pedida cordeiro bom,0,0,1,0,0,0,0,0
musica boa ambiente bom gente descontraída bacana,1,0,0,0,0,0,0,0
Ótimo atendimento,0,0,0,0,0,0,0,1
Comida boa lugar agradável bom atendimento brinquedoteca vale pena ir,0,0,1,1,0,0,0,1
Além banana frita deliciosa,0,0,1,0,0,0,0,0
Local agradável culinária regional saborosa requintada,0,0,1,1,0,0,0,0
atendeu sa melhor forma serviu peixe,0,0,0,0,0,0,0,1
Ambiente ótimo jantar delicioso atendimento super agradável garçom Bruno conjunto Ricardo voltarei espero atendida novamente,1,0,0,0,0,0,0,1
local sensacional ambiente calmo tranquilo,1,0,0,1,0,0,0,0
Ótimo ambiente total respeito normas segurança conta pandemia comida boa qualidade preço justo,1,0,1,0,0,0,1,0
Restaurante confortável amplo decoração bom gosto ar condicionado perfeito música vivo discreta bons serviçoes maitres garçons,1,0,0,1,0,0,0,1
Poderia ter preços acessíveis forma simples tendo opção tapiocas menores individuais,0,0,1,0,0,0,1,0
grande Variedade,0,0,1,0,0,0,0,0
pedir último pedido refeição cachorro quente envolto carne porco,0,0,1,0,0,0,0,0
Excelente opção,0,0,0,1,0,0,0,0
Ótimo bar onde encontra Boa cerveja gelada ótimo pagode,1,1,0,1,0,0,0,0
ribeirinhos amazônicos banzeiro agitação águas feita ventos,0,0,0,0,0,1,0,0
bom ambiente familiar,1,0,0,0,0,0,0,0
Manaus desfrutar sabores Alentejo quase heresia,0,0,0,1,0,0,0,0
Delicioso tambaqui pirão farofa banana,0,0,1,0,0,0,0,0
café regional Priscila excelente opção quer refeição diversificada pois lá muitas comidas típicas tapiocas vários sabores bolos diversos vale pena conferir bolo aimpim cobertura calda cupuaçu,0,0,1,0,0,0,0,0
Excelente restaurante ótimo preço ambiente bacana,1,0,0,1,0,0,0,1
Loval familiar agradável,0,0,0,1,0,0,0,0
restaurante possui dois ambientes tradicional puxando pra cozinha portuguesa outro moderno,1,0,0,0,0,0,0,0
chop caseiro bom atendimento deixa desejar,0,1,0,0,0,0,0,1
Cerveja geladissima bom atendimento ótimos preços cardápio variado ambiente climatizado,1,1,1,0,0,0,1,1
Comida boa atendimento bom rápido,0,0,1,0,0,0,0,1
Presencialmente nunca passei experiência ruim lá,0,0,0,1,0,0,0,0
anos melhor carne sol Manaus,0,0,1,0,0,0,0,0
Pizza boa preço bom playground crianças,1,0,1,0,0,0,1,0
Preços acessíveis,0,0,0,0,0,0,1,0
Cardápio preços honesto Vale conferir brigadeiro peixe esquecer curtir SUP,1,0,1,0,0,0,1,0
Ótimo atendimento comida gostosa ambiente aconchegante,1,0,1,0,0,0,0,1
ótimo atendimento comida excelente ambiente agradável bom lugar comemorar algo especial,1,0,1,0,0,0,0,1
Lugar agradável bom papo cerveja gelada,0,1,0,1,0,0,0,0
Ambiente adequado,1,0,0,0,0,0,0,0
boa precisam trocar monitores ainda tv s tubo tudo bom Atendimento excelente bom preço bem climatizado,1,0,0,0,0,0,1,1
boa surpresa serviço comida regional boa lugar extremamente agradável bom serviço pessoal prestativo atenciosos bom vale pena ir,1,0,1,1,0,0,0,1
Preço justo,0,0,0,0,0,0,1,0
Boa qualidade comida bom atendimento porém preços altos,0,0,1,0,0,0,1,1
restaurante ainda adicionou grande parte itens populares Amazonas cardápio preferindo manter todas franquias possuem,0,0,0,0,0,1,0,0
Lugar aconchegante,1,0,0,0,0,0,0,0
Sopeies régio amazônica maravilha neste restaurante prepararam forma especial apesar ter gostado outros restaurantes bem simplezinho perto rio negro,0,0,1,0,0,0,0,0
Lugar otimo agradável,0,0,0,1,0,0,0,0
melhor opção gastronomia japonesa cidade manaus igual toda familia adorou magnifico,0,0,1,1,0,0,0,0
Aí rapaz informou deveria falar dono aí dono autorizou mediante quantia 35 reais afff palhaçada preço razoável pagaria problemas,0,0,0,0,0,0,1,0
Lugar bom ir família todas vezes experiências incríveis,0,0,0,1,0,0,0,0
comida excelente pode dizer recepção ocorrido escolhem vista desejam atender bom grado,0,0,1,0,0,0,0,1
Excelente atendimento família bem atendidos Parabéns recepção ótimo atendimento Garson Bruno Comida maravilhosa ainda mesa ótima escolhida recepcionista joici parabéns Obrigado coco bambu,0,0,0,0,0,0,0,1
interessante decoração temática sabor surpreendente,1,0,1,0,0,0,0,0
Quase sempre comida servida excelente qualidade porém quantidade carne servida prato pouca,0,0,1,0,0,0,0,0
comida deste local boa preço pouco salgado,0,0,1,0,0,0,1,0
Local amplo cafe bom,1,1,0,0,0,0,0,0
língua bovina deu toque todo especial macia sabor inigualável,0,0,1,0,0,0,0,0
Ótimo atendimento desde entrada garçon Erick Mamma mia casa rodízios parabéns ambiente agradável,1,0,1,0,0,0,0,1
Ambiente agradável melhor culinária peruana local,1,0,1,0,0,0,0,0
ambiente super agradável atendimento excelente comida saborosa,1,0,1,0,0,0,0,1
piscina crianças imprópria banho,1,0,0,0,0,0,0,0
Ótimo lugar comida deliciosa,0,0,1,1,0,0,0,0
Ótimo ambiente comidas deliciosas cerveja gelada atendimento fantástico Izaquiel sempre atencioso ótimas dicas,1,1,1,0,0,0,0,1
Excelente atendimento,0,0,0,0,0,0,0,1
Comida boa qualidade ótimo atendimento ambiente agradável,1,0,1,0,0,0,0,1
Excelente bar boa música porem atendimento pouco demorado local bem apertado,1,0,0,0,0,0,0,1
ribeirinhos amazônicos banzeiro agitação águas feita ventos,0,0,0,0,0,1,0,0
variedades doces ambiente gostoso iluminação agradável atendimento nota 10,1,0,1,0,0,0,0,1
Ótimos produtos maravilhoso,0,0,1,0,0,0,0,0
clima super agradável recomendo tanto pra encontros família dois,1,0,0,1,0,0,0,0
Peixe maraviloso atendimento bom perfeito ambiente confortavel bom festejo familia preco vale pena ir degustar peixe amazonico,1,0,1,0,0,0,0,1
Lugar bom pra tomar cerva estilo canela pedreiro,0,1,0,0,0,0,0,0
Lugar agradável,0,0,0,1,0,0,0,0
Local aconchegante comida saborosa atendimento sr França excelente,1,0,1,0,0,0,0,1
Festas temáticas ótimas comidas claro atendimento 100 Obrigado vivência,1,0,1,0,0,0,0,1
Ótimo local pra divertir,0,0,0,1,0,0,0,0
Excelente café regional Manaus,0,1,0,0,0,0,0,0
café preferido melhor pão queijo manaus atendimento maravilhoso,0,0,1,0,0,0,0,1
bom local boa comida,0,0,1,1,0,0,0,0
Melhor bar manaus atendimento nota 10000,0,0,0,1,0,0,0,1
Tudo gostoso porções bem servidas carne ainda nenhum lugar Manaus igual bem suculenta macia PRIMEIRA qualidade,0,0,1,0,0,0,0,0
Péssimo antendimento 30 minutos esperando atendimento garçons jogando mesa uns outros,0,0,0,0,0,0,0,1
Linha massas farinha italiana fermentação natural excelente bom preço sabor sensacional,0,0,1,0,0,0,1,0
Excelente ambiente,1,0,0,0,0,0,0,0
lugar melhor custo benefício,0,0,0,0,0,0,1,0
variedades carnes brancas,0,0,1,0,0,0,0,0
Bom atendimento,0,0,0,0,0,0,0,1
Boa comida bom preço,0,0,1,0,0,0,1,0
Excelente atendimento,0,0,0,0,0,0,0,1
Perfeito preço atrativo comida qualidade além ótimo atendimento,0,0,1,0,0,0,1,1
Restaurante bom comida maravilhosa ótimo atendimento possui estacionamento próprio preço bom nível restaurante,0,0,1,1,1,0,1,1
caldinho peixe gostoso,0,0,1,0,0,0,0,0
Peixe pirarucu banana queijo sobremesa banana amazônica,0,0,1,0,0,0,0,0
Local agradável música boa,1,0,0,1,0,0,0,0
Existem pizzarias melhor custo beneficio Manaus justificaria preço suposta qualidade mantém,0,0,0,0,0,0,1,0
Ótimo ambiente comida bem saborosa porém pontos serem melhorados exemplo pedido outras mesas servidos rápido final embalagem viagens trocada percebemos chegamos casa,1,0,1,0,0,0,0,1
Lugar simples satisfatório,0,0,0,1,0,0,0,0
Excelente atendimento principal pizza exageradamente saborosa,0,0,1,0,0,0,0,1
Atendimento comida ótimo sabor,0,0,1,0,0,0,0,1
Tradicional ambiente agradável ÚNICO VENDER FILÉ ALTO,1,0,1,0,0,0,0,0
Boa carne bons acompanhamentos preço normal Manaus,0,0,1,0,0,0,1,0
Ótimo lugar reunir Família Amigos Comer Deliciosa Pizzas Super indico,0,0,1,1,0,0,0,0
melhor carne Sol MANAUS,0,0,1,0,0,0,0,0
Ambiente agradável ar refigerado importantíssimo nesta cidade decoração motivos Amazônicos,1,0,0,0,0,0,0,0
40min espera estresse calor carne queimada valor abusivo serviço prestado cheguei tentar cancelar várias vezes sempre pediam desculpas diziam q pedindo vindo achei descaso total mentem lata cliente,1,0,1,0,0,0,1,1
Cardápio bom,0,0,1,0,0,0,0,0
demorei pouco pra conseguir pagar boa experiência,0,0,0,1,0,0,0,1
Melhor buffet igual variedades ambiente aconchegante,1,0,1,0,0,0,0,0
ambiente bem familiar ótimo atendimento cardápio eclético excelente rodízio,1,0,1,0,0,0,0,1
bom cerveja geladinha vários petiscos,0,1,1,0,0,0,0,0
Energias boas ótimo pra curtir bom som amigos família tomar banho rio tudo pra ter ótimo dia rio negro,1,0,0,1,0,0,0,0
Amei ótimo ambiente confraternizações,1,0,0,0,0,0,0,0
Tambaqui assado melhor pedida melhor peixe amazônico servido forma assado condimentos regionais excelente tempero,0,0,1,0,0,0,0,0
Bom ambiente boa comida preço acessível,1,0,1,0,0,0,1,0
Local ruim pra estacionar,0,0,0,0,1,0,0,0
Restaurante temático ótima música pizza deliciosa preço justo,1,0,1,1,0,0,1,0
Lugar aconchegante bem servido agradável,1,0,0,0,0,0,0,1
bons momentos excelente restaurante atendimento perfeito cardápio delicioso,0,0,1,1,0,0,0,1
Excelente rodízio massas,0,0,1,0,0,0,0,0
Atendimento excelente comida deliciosa preço acessível,0,0,1,0,0,0,1,1
Café bom,0,1,0,0,0,0,0,0
Comida gostosa pouco demorado,0,0,1,0,0,0,0,1
Lugar agradável porém difícil arrumar estacionamento horário almoço dias úteis aceitam ticket alimentação,0,0,0,1,1,0,0,0
Extremamente recomendo definitivamente melhores lugares almoçar jantar Manaus,0,0,0,1,0,0,0,0
Ótimo ambiente variedades sopas,1,0,1,0,0,0,0,0
Ambiente agradável bom atendimento especialmente rapaz Sauro,1,0,0,0,0,0,0,1
Ótimo local ambiente familiar,1,0,0,1,0,0,0,0
Sempre perfeito boa comida bom atendimento bom preço ambiente super agradável estacionamento facil,0,0,1,0,1,0,1,1
lugar bom almoço principalmente sábados feijoada daquelas cerveja gelada,0,1,1,1,0,0,0,0
Pedimos pirarucu molho shimeji arroz negro pure mandioquinha,0,0,1,0,0,0,0,0
Lugar agradável,0,0,0,1,0,0,0,0
Comida razoável caro oferece,0,0,1,0,0,0,1,0
The fries aren t much definitely not worth 10 dollars,0,0,0,0,0,1,0,0
Comida deliciosa variedades pratos quentes salada bom preço atendimento maravilhoso banheiro limpinho ar condicionado 2 ambientes,1,0,1,0,0,0,1,1
Serve bem boa mesa,0,0,0,0,0,0,0,1
Comida maravilhosas,0,0,1,0,0,0,0,0
ambiente top atendimento primeira pratos frutos mar deliciosos acompanhado bom vinho,1,1,1,0,0,0,0,1
Local agradável fácil acesso,0,0,0,1,1,0,0,0
Comida boa lugar agradável,0,0,1,1,0,0,0,0
Espero próxima oportunidade reecontrá los promovidos tarefas pois todos têm potencial chance,0,0,0,0,0,1,0,0
Ambiente agradável,1,0,0,0,0,0,0,0
Atendimento excelente preço super acessível,0,0,0,0,0,0,1,1
Ambiente agradável atendimento cordial ja preços caro,1,0,0,0,0,0,1,1
Considero excelente centro gastronômico diversidade pratos sobremesas ofertados,0,0,1,1,0,0,0,0
melhores restaurantes requintados Manaus,0,0,0,1,0,0,0,0
Comida boa porém pagar vela aniversário surreal,0,0,1,0,0,0,1,0
Solicitei cebola extra estabelecimento atendeu pedido,0,0,0,0,0,0,0,1
Ambiente incrível melhor culinária Portuguesa Argentina incluindo excelente carta vinhos,1,1,1,0,0,0,0,0
Flutuante vista incrível pôr sol sempre posso abaré recarregando energias,1,0,0,0,0,0,0,0
Comida excelente porém atendimento pós covid surpreendeu sei garcon novato enfim boa experiência senti tendo padrão atendimento paguei,0,0,1,0,0,0,0,1
Atendimento impecável,0,0,0,0,0,0,0,1
quinta pizza dobro quarta todas pizzas valor fixo,0,0,0,0,0,1,0,0
Ambiente fantástico familiar super recomendo,1,0,0,1,0,0,0,0
Flutuante fantástico Peixada inabalável,0,0,1,1,0,0,0,0
chefe Debora Shornik conseguiu reinterpretar forma sutil diversidade sabores amazonicos,0,0,1,0,0,0,0,0
Clima agradavel muita gente bonita,1,0,0,0,0,0,0,0
sugestão prato entrada dadinho tapioca prato principal lombo premium Tambaqui,0,0,1,0,0,0,0,0
2 vez decepção total,0,0,0,1,0,0,0,0
Experiência gastronômica primeira,0,0,1,0,0,0,0,0
produtos Tortas Tortas deliciosos boa qualidade preço pouco elevado entanto ainda encontrei outro lugar torta limão lá,0,0,1,0,0,0,1,0
Ótimo comida gostosa ambiente tranquilo atendimento nota 1000,1,0,1,0,0,0,0,1
Dessa forma preço igual produto menor,0,0,0,0,0,0,1,0
experiência maravilhosa pra deseja conhecer pouco cozinha mexicana,0,0,1,0,0,0,0,0
Molho espetacular preço justo bom atendimento,0,0,1,0,0,0,1,1
ótimo custo benefício,0,0,0,0,0,0,1,0
Excelente opção gastronômica gosta cervejas artesanais algumas rótulo próprio Dedé neste dia destaco atendimento funcionária Eliana atendeu muita eficiência simpatia inclusive percebeu queijo coalho queimado embaixo trocou,0,1,1,0,0,0,0,1
Valeu ida Bufalo variedade carnes acompanhamentos alem preco bom,0,0,1,0,0,0,1,0
Infelizmente pode dizer carro chefe casa Camarão Internacional pouquíssimos camarões contrário incio,0,0,1,0,0,0,0,0
delícia recomendo opção prato amantes queijo,0,0,1,0,0,0,0,0
lugar bom ótimo atendimento,0,0,0,1,0,0,0,1
boa qualidade atendimento bagunçado,0,0,0,0,0,0,0,1
Cafe expresso delicioso,0,1,0,0,0,0,0,0
Ótimos pratos comida ambiente bons atendimento eficiente garçom Ricardo José super atencioso educado,1,0,1,0,0,0,0,1
melhor açai comi muitos lanches saborosos,0,0,1,0,0,0,0,0
Cerveja bem gelada,0,1,0,0,0,0,0,0
Comida ótima bom preço ótimo atendimento,0,0,1,0,0,0,1,1
valor rodízio incluso bebidas sucos naturais refrigerante,0,0,0,0,0,1,0,0
melhor lugar pra tomar café regional,0,1,0,0,0,0,0,0
Comida boa ambiente rústico agradável ótima pedida pra happy hour vezes deixa desejar atendimento,1,0,1,0,0,0,0,1
José Gregório excelente,0,0,0,0,0,0,0,1
Único problema barulho,1,0,0,0,0,0,0,0
Excelente atendimento culinária impecável ambiente bonito apesar climatizado clima ambiente agradável quanto preços média peixarias Manaus exceção sobremesas realidade fatia pudim R 15 reais acho caro contar poucas opções sobremesa outro ponto parabenizar fato disponibilizarem lugar agradável aguardar enquanto dispõem mesas desocupadas bem organizado,1,0,1,0,0,0,1,1
Comida deliciosa ambiente agradável funcionários atenciosos,1,0,1,0,0,0,0,1
Pior picanha ja comemos vida gosto horrível provar carne senti gosto plastico fumaça impossível comer pensei vou comer acompanhamentos pior tudo ruim arroz farofa vinagrete maionese conseguimos botar primeira colher boca conseguimos comer,0,0,1,0,0,0,0,0
unidade shopping manauara Ambiente excelente,1,0,0,0,0,0,0,0
irmã levou restaurante flutuante costumes manauaras,0,0,0,0,0,1,0,0
Atendimento péssimo,0,0,0,0,0,0,0,1
Experiência boa pista bolas boliche defeitos boa comida bom lugar pra divertir,1,0,1,1,0,0,0,0
Preço justo comida ótima,0,0,1,0,0,0,1,0
Ambiente agradável excelente atendimento,1,0,0,0,0,0,0,1
melhores carnes picanha Manaus comi vários restaurantes nada supera picanha deliciosa suculenta Adolpho,0,0,1,0,0,0,0,0
Excelente atendimento Rafael Viera Ambiente bonito musica prazerosa,1,0,0,0,0,0,0,1
Espaçoso ótimo atendimento preço super acessível ótimo serviço rodízio,0,0,0,0,0,0,1,1
caro porém vale pena gastar pouco ótimo ambiente localização principalmente comida,1,0,1,0,1,0,1,0
Simplesmente melhores senão melhor comer hambúrguer delicioso ambiente interno climatizado externo arejado estacionamento amplo descoberto faz menor diferença principal melhores hambúrgueres cidade Manaus,1,0,1,0,1,0,0,0
ótima opção rodízio carne,0,0,1,0,0,0,0,0
Experiência excelente,0,0,0,1,0,0,0,0
Servem caldinho peixe entrada maravilhoso,0,0,1,0,0,0,0,0
atendimento excelente ambiente animadíssimo,1,0,0,0,0,0,0,1
Preço justo,0,0,0,0,0,0,1,0
Ótimo restaurante comida regional Amazonas capricho,0,0,1,1,0,0,0,0
Local agradável faz calor ambiente externo climatizado,1,0,0,1,0,0,0,0
comida ótima preço bom,0,0,1,0,0,0,1,0
Ótimo atendimento comida boa,0,0,1,0,0,0,0,1
Pedi Pizzaiolo rede pescador muitos bons fartos saborosos,0,0,1,0,0,0,0,0
Mto bom local perfeito conhecer café regional Manaus,0,1,0,0,0,0,0,0
Recomendo foto lombo Tambaqui farofa bacon Pirarucu,0,0,1,0,0,0,0,0
Lugar relaxar tomar cerveja gelada comer petisco carne seca comer tambaqui assado hora família amigos,0,1,1,0,0,0,0,0
Variedade alimentação lugar aconchegante limpo preços altos devido grande variedade,1,0,1,0,0,0,1,0
Lugar maneiro kd rock quinta,0,0,0,1,0,0,0,0
ótimas promoções happy hour bem tendencioso além música vivo,1,0,0,0,0,0,1,0
Lugar otimo atendimento excelente comida maravilhosa,0,0,1,1,0,0,0,1
Abaré ótima opção laser toda categoria pessoas família amigos etc Cerveja gelada sucos refrigerantes ótima comida porções petiscos local limpo banho,1,1,1,1,0,0,0,0
Melhor churrascaria Manaus,0,0,0,1,0,0,0,0
agradável melhores rodízios sopas Manaus,0,0,1,0,0,0,0,0
estilo rústico agradável excelente localização,1,0,0,0,1,0,0,0
Barzinho situado lindo casarão histórico ambiente descontraído bem frequentado,1,0,0,0,1,0,0,0
Localização fenomenal lado Teatro Amazonas centro histórico dá cidade,0,0,0,0,1,0,0,0
Banzeiro melhores restaurante comida típica Manaus,0,0,0,1,0,0,0,0
ambiente agradável bom bacalhau boa carta vinhos,1,1,1,0,0,0,0,0
Melhor culinária,0,0,1,0,0,0,0,0
Local agradável confortável ambiente único recomendo todos,1,0,0,1,0,0,0,0
vez ótimo,0,0,0,1,0,0,0,0
Ambiente bem climatizado espaço kids amplo monitora atendimento rápido todos cordiais destaque Eduardo atencioso Davi super engraçado,1,0,0,0,0,0,0,1
Local lindíssimo atendimento excelente organizado comida saborosa,1,0,1,0,0,0,0,1
Serviço correto preço justíssimo,0,0,0,0,0,0,1,1
Melhor restaurante Manaus ótimo atendimento lugar climatizado limpo ótima comida peixe fresquinho maravilhoso,1,0,1,1,0,0,0,1
presente dezenas pratos doces salgados café manhã jantar Banzeiro fruta aparece forma delicado creme maçaricado estilo brullè pode acompanhado sorvete cumaru baunilha amazônica,0,0,1,0,0,0,0,0
Bom atendimento comida deliciosa,0,0,1,0,0,0,0,1
Atendimento excelente todos simpáticos atenciosos preço justo carne bem saborosa assim porções,0,0,1,0,0,0,1,1
Excelente atendimento parabéns senhora Ketherin,0,0,0,0,0,0,0,1
Super recomendo vatapá maravilhoso atendimento super atencioso comida saí rapidinho ótimo pressa hora almoço,0,0,1,0,0,0,0,1
Baião tempero único,0,0,1,0,0,0,0,0
Excelente atendimento,0,0,0,0,0,0,0,1
senhor sempre preto japonês trabalha lá senhor educado,0,0,0,0,0,0,0,1
Porém alguns pontos precisam observados feijoada carro chefe fds bar servida estilo buffet R 39 90 boa temperatura simplesmente tava normal frio,0,0,1,0,0,0,0,0
Ambiente agradável Boa musica cardápio agradar qualquer paladar,1,0,1,0,0,0,0,0
Decoração temática móveis brinquedos objetos antigos muitas guitarras tudo somado bom atendimento,1,0,0,0,0,0,0,1
unica coisa gostei banheiro masculino fica piso superior,1,0,0,0,0,0,0,0
ambiente casarão antigo ciclo borracha vista pro poético Teatro Amazonas,1,0,0,0,0,0,0,0
substitui opção vegetariana aumenta qualidade risoto c vegetais cortados pedaços grandes inadequados ver p risoto queijo queijo integrado prato maneira inadequada q ocasionou grude incoveniente,0,0,1,0,0,0,0,0
Sugestão molho base mel lima queijo assado cebola caramelizada acompanhando tabua picanha porções pastéis salgados bolinhos fritos cardápio entrada boa,0,0,1,0,0,0,0,0
Cerveja estupidamente gelada petiscos primeira ótimas opções pra gosta variedades cerveja,0,1,1,0,0,0,0,0
Boa carta vinhos,0,1,0,0,0,0,0,0
Prove entrada formiga saúva purê mandioquinha saída musse cupuaçu,0,0,1,0,0,0,0,0
Lugar climatizado variedades cardápio rodízio massas pastéis preço justo,1,0,1,0,0,0,1,0
ambiente agradavel tanto shopping park 10 comida excelente bebidas bem geladas vale pena visitar,1,1,1,1,0,0,0,0
Ambiente acolhedor iluminação ponto certo,1,0,0,0,0,0,0,0
restaurante espaço aconchegante agradável equilibrando rústico,1,0,0,0,0,0,0,0
Indico certeza gentil cordial,0,0,0,1,0,0,0,0
Boa experiência gourmet pratos drinks bem elaborados destaque camarões,0,1,1,0,0,0,0,0
Ambiente super agradável vista linda teatro,1,0,0,0,0,0,0,0
Local bonito bem frequentado preços médios comida gostosa quantidade acessível vezes demora,1,0,1,0,0,0,1,1
ambiente descontraído música empório varias produtos,1,0,1,0,0,0,0,0
pratos único ficou desejar Picadinho coco bambu infelizmente prato graça sal vida kkkkkkk,0,0,1,0,0,0,0,0
restaurante excelente menu especialidades portuguesas variada carta vinhos além ambiente agradável,1,1,1,0,0,0,0,0
Lugar sensacional ambiente super agradável preços justos comida deliciosa,1,0,1,1,0,0,1,0
Atentimento exelente,0,0,0,0,0,0,0,1
partir indicação daqui decidimos restô Português poderia melhor,0,0,0,1,0,0,0,0
atendimento bom sistema casa self service entanto paga valor único come vontade,0,0,0,0,0,0,1,1
Atendimento excelente sabe conversar manter confortáveis,0,0,0,0,0,0,0,1
Comida excelente cerveja gelada,0,1,1,0,0,0,0,0
Ambiente família bem climatizado,1,0,0,0,0,0,0,0
Parabéns equipe excelente trabalho voltarei recomendarei,0,0,0,0,0,0,0,1
Excelente opção conhecer culinária regional,0,0,1,1,0,0,0,0
Restaurante acolhedor preços convidativos,0,0,0,1,0,0,1,0
Boa variedade carnes nobres ótimos acompanhamentos atendimento rápido,0,0,1,0,0,0,0,1
Excelente restaurante conheço casa Manaus deve nada qualidade produtos ótimos pratos excelente atendimento,0,0,1,1,0,0,0,1
preço baixo estrutura boa atrai bastante cliente deixando espaço super lotado,1,0,0,0,0,0,1,0
Local agradável gostei atendimento,0,0,0,1,0,0,0,1
Brinquedoteca modesta criança diverte cuidadora,1,0,0,0,0,0,0,0
Comida fria sabor feijão duro bife menor ovo tipo C tempero,0,0,1,0,0,0,0,0
Boa comida bom preço,0,0,1,0,0,0,1,0
Melhor garçom tatuado gente boa,0,0,0,0,0,0,0,1
muitos restaurantes baixo nível sinceramente chato ir restaurante alto nível encontrar tapuru arroz amigo comentou sobre situação acontecido recentemente tentei relevar,0,0,1,0,0,0,0,0
Comida deliciosa,0,0,1,0,0,0,0,0
local simples fica garagem bem grande portão garagem,1,0,0,1,0,0,0,0
convite amigos Choupana surpreendida ambiente rústico agradável,1,0,0,0,0,0,0,0
Tbem amei exposiçoes coisas antigas sino achei super diferente legal,1,0,0,0,0,0,0,0
Carnes saborosas porem alta quantidade esperava preço cobrado,0,0,1,0,0,0,1,0
realmente experiência maravilhosa,0,0,0,1,0,0,0,0
Pizza boa gostei atendimento,0,0,1,0,0,0,0,1
Pessimo local pequeno passei horas esperando,1,0,0,1,0,0,0,1
